TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ELPL3;8,31;;1,25;0,95;0,05;23,33;15,46;6,75;0,55;2,76;2,21;3,86;0,08;2,14;-0,07;1,09;76,01;4,10;27,43;0,05;0,95;0,61;12,36;;;8,73;6,64;-0,16;1.640.949.623,22
EMAE3;25,35;3,16;8,99;1,01;0,50;30,21;2,26;19,48;77,58;95,66;-32,30;-0,42;1,75;1,85;-0,74;5,49;11,23;5,51;-0,76;0,49;0,51;0,28;20,69;13,63;;25,09;2,82;-0,15;1.544.919.457,30
EMAE4;52,12;1,69;18,49;2,08;1,02;30,21;2,26;19,48;159,50;95,66;-32,30;-0,42;3,60;3,80;-1,52;5,49;11,23;5,51;-0,76;0,49;0,51;0,28;20,69;13,63;190.722,59;25,09;2,82;-0,32;1.544.919.457,30
EMBR3;13,02;;-9,08;0,72;0,18;18,77;-4,72;-5,24;-10,07;-18,32;-8,16;0,59;0,48;0,73;-0,41;1,77;-7,98;-1,98;-3,38;0,25;0,73;0,38;1,13;;111.810.988,46;17,98;-1,43;-0,03;9.729.710.678,16
ENAT3;11,92;14,33;3,55;0,80;0,52;41,49;65,20;40,46;2,20;1,53;-0,71;-0,26;1,44;4,31;-0,74;1,69;22,40;14,63;22,43;0,65;0,35;0,36;30,52;42,30;22.788.110,82;14,98;3,36;0,09;3.221.579.688,60
ENBR3;20,18;10,87;5,27;1,00;0,31;27,89;24,96;12,38;2,61;5,03;2,37;0,90;0,65;3,52;-0,44;1,48;18,91;5,98;13,67;0,32;0,65;0,48;15,05;27,29;63.352.712,18;20,27;3,83;0,61;11.937.134.604,72
ENEV3;11,96;;17,89;1,37;0,59;35,01;32,61;19,28;10,58;13,99;3,16;0,41;3,45;2,83;-0,92;2,34;7,64;3,28;5,56;0,43;0,57;0,17;18,85;;123.960.515,32;8,75;0,67;-0,79;19.409.466.244,00
ENGI11;41,52;8,09;7,22;1,45;0,28;26,61;21,65;8,60;2,87;6,60;3,70;1,87;0,62;5,99;-0,38;1,22;20,11;3,93;12,38;0,20;0,78;0,46;17,81;72,25;84.711.428,82;28,60;5,75;-1,97;17.144.639.628,32
ENGI3;12,91;5,21;11,22;2,26;0,44;26,61;21,65;8,60;4,46;6,60;3,70;1,87;0,97;9,31;-0,60;1,22;20,11;3,93;12,38;0,20;0,78;0,46;17,81;72,25;62.046,00;5,72;1,15;-3,06;17.144.639.628,32
ENGI4;7,27;9,24;6,32;1,27;0,25;26,61;21,65;8,60;2,51;6,60;3,70;1,87;0,54;5,24;-0,34;1,22;20,11;3,93;12,38;0,20;0,78;0,46;17,81;72,25;97.973,68;5,72;1,15;-1,72;17.144.639.628,32
